slug,country,solutions_tag,skip,note
somalia-who-covid-19-vaccination-management-platform,Somalia,Immunizations,,COVID-19 vaccination management
harnessing-ai-for-frontline-workers,,Remote Engagement,,AI coaching bot for frontline workers
tackle-africa-commcare-grant,Multiple countries,Infectious Disease Prevention & Control,,TackleAfrica HIV/sexual-health education
predictive-analytics-public-health-malnutrition,India,,,country densify 2026-06-08
commcare-research-grant-checkin-move-up-global,Rwanda,Nutrition|Research,,country densify 2026-06-08; focus-area from partner-story link 2026-06-10
dimagi-monkeypox-case-management-solution,United States,,,country densify 2026-06-08
undp-financial-education-application,Cameroon,,,country densify 2026-06-08
cdc-foundation-pods-project,Burkina Faso,,,country densify 2026-06-08
contact-tracing-2014-ebola-anne-liu,Guinea,,,country densify 2026-06-08
opioid-epidemic-nascare-course,United States,,,country densify 2026-06-08
mhealth-interventions-bmc-macdonald,Senegal,,,country densify 2026-06-08
taroworks-alternative-givedirectly-cash-transfer-case-study,Multiple countries,Cash & Voucher Assistance|Humanitarian Response,,country densify 2026-06-08; focus-area from partner-story link 2026-06-10
scaling-global-health-programs-a-miraclefeet-case-study,Multiple countries,"Maternal, Newborn & Child Health|Workforce Management",,country densify 2026-06-08; focus-area from partner-story link 2026-06-10
five-talents-savings-groups,Multiple countries,Livelihoods|Education,,country densify 2026-06-08; focus-area from partner-story link 2026-06-10
commcare-public-health-campaign-payments,Multiple countries,Immunizations|Campaigns,,country densify 2026-06-08; focus-area from partner-story link 2026-06-10
inaugural-commcare-government-summit,Multiple countries,Governments|Community Health,,country densify 2026-06-08; focus-area from partner-story link 2026-06-10
wielding-the-power-of-data-for-violence-reduction-and-prevention,Multiple countries,Monitoring & Evaluation,,country densify 2026-06-08
miraclefeet-drives-global-impact-through-commcare-and-the-impact-delivery-approach,Multiple countries,,,country densify 2026-06-08
wellme-update2,Multiple countries,,,country densify 2026-06-08
johnson-johnson-foundation-leveraging-advanced-analytics-to-develop-engagement-profiles,Multiple countries,,,country densify 2026-06-08
commcare-in-the-classroom,Multiple countries,,,country densify 2026-06-08
johnson-and-johnson-foundation-commcare-companion-application,Multiple countries,,,country densify 2026-06-08
vaccine-solution-covid-19-routine-immunization,Multiple countries,,,country densify 2026-06-08
covid-19-pro-bono-project-highlights-2021,Multiple countries,,,country densify 2026-06-08
mobile-data-collection-commcare-tuberculosis,Multiple countries,,,country densify 2026-06-08
usaid-advancing-nutrition-2020,Multiple countries,,,country densify 2026-06-08
miraclefeet-covid-19-qa,Multiple countries,,,country densify 2026-06-08
technoserve-monitoring-evaluation-tools-suite,Multiple countries,Agriculture|Livelihoods,,country densify 2026-06-08; focus-area from partner-story link 2026-06-10
covid-19-africa-commcare,Multiple countries,,,country densify 2026-06-08
mobile-data-collection-cash-transfer-programs,Multiple countries,Cash & Voucher Assistance|Livelihoods,,country densify 2026-06-08; focus-area from partner-story link 2026-06-10
covid-19-response-template-apps,None,,,not US (global COVID-19 template apps)
dimagi-acquires-sureadhere-digital-solutions,None,,,not US (corporate announcement)
egpaf-baylor-commcare-hiv-patient-tracking,,Remote Engagement,,SMS appointment reminders for HIV patient tracking
suaahara-ii-commcare-community-maternal-child-health,,"Maternal, Newborn & Child Health|Remote Engagement",,MNCH program with stage-based SMS / remote engagement
zvandiri-connect-digital-innovation,Zimbabwe,Infectious Disease Prevention & Control,,Cross-ref from Zvandiri; HIV youth care
unicef-jamaica-covid-19-vaccine-rollout,Jamaica,Immunizations,,Cross-ref from UNICEF; national COVID-19 vaccine rollout
chronic-disease-emr-kenya-refugee-camps,Kenya,Non-Communicable Diseases|Humanitarian Response,,Cross-post: Lyles et al. JMIR 2023; focus-area from partner-story link 2026-06-10
ncd-community-model-syrian-refugees-jordan,Jordan,Non-Communicable Diseases,,Cross-post: Elrha/IRC Syrian refugees NCD
sickle-cell-foundation-ghana-newborn-screening,Ghana,Non-Communicable Diseases,,Sickle cell = NCD
island-health-care,United States,Community Health|Non-Communicable Diseases,,diabetes/chronic care
abt-associates-vectorlink-malaria-control,,Infectious Disease Prevention & Control,,focus-area from partner-story link 2026-06-10
access-madagascar-commcare-remote-health,,Service Delivery,,focus-area from partner-story link 2026-06-10
case-management-course-dimagi-academy,,Service Delivery|Education,,focus-area from partner-story link 2026-06-10
case-study-guinea-digitized-national-malaria-campaign,,Governments|Campaigns|Immunizations,,focus-area from partner-story link 2026-06-10
colorado-behavioral-health-centralized-mat-registry,,Mental Health,,focus-area from partner-story link 2026-06-10
commcare-precision-tasking-framework,,Community Health|Workforce Management,,focus-area from partner-story link 2026-06-10
frontline-worker-advisory-panel-launch,,Mental Health|Workforce Management,,focus-area from partner-story link 2026-06-10
jamaica-commcare-covid19-vaccination-platform,,Immunizations|Infectious Disease Prevention & Control,,focus-area from partner-story link 2026-06-10
unicef-health-campaign-digitalization-guidebook,,Infectious Disease Prevention & Control|Campaigns,,focus-area from partner-story link 2026-06-10
kemri-pharmacokinetic-trial-nairobi,Kenya,Clinical Trials|Research,,2017 BMJ Innovations PK trial w/ KEMRI+Novartis; clinical-trials use-case link 2026-06-10
azithromycin-mda-mali,Mali,Clinical Trials|Research,,2023 Trials LAKANA protocol; clinical-trials use-case link 2026-06-10
